project_id,project_name,project_objective
208433,"Social and Economic Reintegration for CAAG and S/GBV Survivors in Borno, Adamawa, and Yobe States.","The project will provide case management, S/GBV response, MHPSS and socioeconomic reintegration services to unaccompanied and separated children including S/GBV survivors and children formerly associated with armed groups and armed forces and their caregivers.
According to the HRP 2023, (Child Protection needs have increased in 2023 due to the sustained military offensive leading to the high influx of people from NSAG, inflation, extreme poverty rates and relocations of IDPs, etc. Priority needs include case management services for victims of abuse, neglect, and violence, family tracing/ reunification/ alternative community care, Mental Health and Psycho-Social Support (MHPSS), socio-economic reintegration of former CAAG and other vulnerable children addressing child marriage, trafficking, child labour, low birth registration rates, social norms affecting children’s rights and critical support to children with disabilities.) 

The Northeast Nigeria Humanitarian Needs Overview HNO indicates also 2.1 million people will need child protection services in 2023 with 13 LGAs in Adamawa, 21 in Borno, and 14 in Yobe having the highest severity ranking of child protection needs due to the absence of child protection systems and community-based safety nets, causing 1.3 million children to need child protection services. The project will contribute to the HRP target of reaching 1.5m people in need (1,050,000 children, 53% girls and 450,000 caregivers, 53% women) by supporting boys, girls, adolescents, youths and caregivers to re-establish a sense of safety and normality through:
I.) Social Economic Reintegration for Children Associated with Armed Groups. 
II.) Case management/GBV services.  
III.) Mental Health and Psychosocial Support. 

"
208839,"Addressing lifesaving reproductive health care and GBV prevention and response services for refugees, asylum seekers, and the vulnerable host communities in Sudan, 2024","In line with the 2023 Sudan Country Refugee Response Plan and people in need (PIN) figures of 2024, UNFPA's refugee response plan aims to address gender-based violence (GBV) prevention and response, as well as critical life-saving and essential sexual and reproductive health (SRH) needs of women and girls among refugees and asylum seekers. The current situation indicates that many internally displaced persons (IDPs) and host communities are relocating from state to state where the refugee community is settling, thereby exacerbating the burden and vulnerability especially on access to health services coupled with the ongoing food insecurity which will impact on the maternal mortality and increase risk for gender based violence. 
This plan will encompass an integrated response for SRH-GBV prevention and service deliveries. Key interventions will include mobile and temporary clinics, women's centers including semi-permanent and temporary centers, capacity building for local authorities, institutions, and service providers, community awareness raising on SRH and GBV, community engagement, community-based protection, advocacy for SRH-GBV services, and scaling up referral mechanisms, including service coordination for at-risk women and girls and GBV survivors, irrespective of sex, age and background. Cash and voucher assistance (CVA) will be integrated into GBV case management rather than standalone intervention. The implementation of activities will be carried out through INGOs, NGOs and Government partners, with strong technical support from UNFPA which will maintain a field presence. UNFPA staff will directly facilitate capacity building elements and manage procurement and distribution of supplies. The project will provide individual and group skills building, strengthen community structures, and enhance institutional capacity in Sudan to respond to the needs of refugees."
207075,RISE LAC :  RESILIENCE INCLUSIVE A TRAVERS LA SECURITÉ ALIMENTAIRE ET L’EDUCATION DANS LA PROVINCE DU LAC ,"Le projet RISE vise à atteindre les objectifs suivants :

Objectif global : Renforcer la résilience des communautés hôtes et déplacées internes dans la province du Lac à travers la réhabilitation et la construction d’actifs communautaires et la création de nouveaux moyens de subsistance.

Objectif spécifique 1 : Contribuer à la réduction de l’insécurité alimentaire dans les sites de déplacés et les villages hôtes des environs de Daboua à travers des transferts monétaires conditionnels aux ménages vulnérables.

Objectif spécifique 2 : Construire la résilience des ménages déplacés internes et hôtes en développant la filière de l’élevage dans le Fouli via la formation et la dotation de groupes pastoraux. 

Objectif spécifique 3 : Contribuer à l’amélioration de la sécurité alimentaire des enfants scolarisés et de l’environnement scolaire dans le Fouli via la réhabilitation et la construction d’actifs au sein des écoles ciblées.

Les objectifs du projet sont doubles : premièrement, avoir recours à des transferts monétaires directs pour répondre aux besoins immédiats en matière de sécurité alimentaire et de nutrition ; et deuxièmement, introduire une série d'activités génératrices de revenus qui augmentent l'autonomie et la résilience des populations, ainsi que fournir des biens communaux qui profitent à l'ensemble de la communauté hôtes et déplacées internes.
"
207768,Réponse wash adaptée aux besoins humanitaires des communautés affectées par les conflits et catastrophes naturelles,"Qualité de l'eau et hygiène : Le contexte met en évidence la consommation d'eau non potable dans certaines provinces, associée à de mauvaises conditions d'hygiène (74 % n'ont pas accès à du savon et à des installations pour se laver les mains) et à des problèmes d'assainissement (64 % n'ont pas accès à des latrines normales). Ces facteurs contribuent à une augmentation significative des maladies d'origine hydrique, en particulier des diarrhées aiguës, qui touchent les enfants de moins de 5 ans. Pour contribuer à résoudre certains de ces problèmes, Save the Children International entreprendra les actions suivantes dans le cadre de son programme intégré : 
1. fournir un accès sûr aux services WASH à 150000 personnes vulnérables, dont 50000 personnes âgées et 100000 enfants et adolescents (y compris ceux qui sont handicapés) affectés par les conflits armés et les violences entraînant des déplacements forcés, dans le respect de la dignité et des principes humanitaires.
2. 200 000 personnes (hommes, femmes, garçons et filles, y compris les personnes handicapées) touchées par des catastrophes naturelles ou des chocs épidémiques ont accès à un ensemble de services WASH pour prévenir et réduire le risque de transmission/morbidité des maladies hydriques causées par l'eau et d'autres vecteurs grâce à une réponse rapide adéquate et coordonnée.
3. les soins nutritionnels et le traitement de la malnutrition aiguë sévère sont améliorés pour 3000 enfants/Femmes enceintes et allaitantes (PLW) malnutris et leurs familles grâce à la distribution de kits d'hygiène pour soutenir la guérison et la mise en œuvre des normes WASH dans les centres de santé et de nutrition (stratégie WaSH'Nut)
4. les écoles et les espaces d'apprentissage d'urgence sont équipés d'infrastructures WASH qui soutiennent la promotion d'une bonne hygiène, offrant un environnement sain et protecteur à 100 000 écoliers."
210119,Brazil: Save the Children (Protection response),Save the Children - Protection response in Brazil
209254,"Respuestas de Protección en emergencia a la Niñez, en comunidades vulnerables por violencia, desastres naturales y cambios climáticos.","El proyecto tiene como objetivo salvaguardar la vida, reducir el sufrimiento y mejorar la resiliencia en comunidades vulnerables y en riesgo afectadas por la violencia y otros riesgos de protección, a través del fortalecimiento de los servicios de apoyo psico social, salud mental, prevención y respuesta al abuso, negligencia, explotación y violencia contra la niñez, empoderamiento y movilización de las comunidades, así como acciones y soluciones integrales, que incluyan el fortalecimiento institucional y comunitario en los departamentos de Francisco Morazán, Cortes, Yoro y Atlántida. El Informe presentado por el ONV-IUDPAS-UNAH señala que 7669 hondureños perdieron la vida de manera violenta y la principal causa de muerte fue el homicidio, seguido por eventos de tránsito. En 2022 se reportaron 3664 homicidios, 278 menos que el año anterior, 308 mujeres fueron víctimas de homicidio, en promedio 26 mensuales, la tasa nacional de eventos de tránsito fue de 19.6 por cada 100 mil habitantes. En Francisco Morazán (529), Yoro (314), San Pedro Sula (281), Colón (244), La Ceiba (96). Se desarrollará una estrategia de comunicación para la prevención del abuso y explotación sexual y VBG, liderada por NNA, dirigida a generar un proceso de revalorización, autocuidado y autogestión, que conduzca a la resolución de conflictos, identificación de riesgos de violencia y abuso sexual, deconstrucción de imaginarios alrededor de los roles de género y salvaguarda de la niñez, promoviendo que redes de apoyo identifiquen, denuncien y deriven casos, a instancias de protección como SENAF, Ciudad Mujer, Médicos sin Fronteras y MP."
211448,Regional: Save the Children (Education response),Save the Children - Education response in Regional
211436,Regional: Save the Children (Common Services response),Save the Children - Common Services response in Regional
213643,Rwanda: Save the Children (Health and Nutrition response),Save the Children: Health and Nutrition response for DRC Regional Plan in Rwanda
210505,Colombia: Norwegian Refugee Council (Shelter response),Norwegian Refugee Council - Shelter response in Colombia
210267,Colombia: Norwegian Refugee Council (Food Security response),Norwegian Refugee Council - Food Security response in Colombia
210528,Colombia: Norwegian Refugee Council (WASH response),Norwegian Refugee Council - WASH response in Colombia
207007,"Renforcement de l'accès aux services intégrés de santé sexuelle et reproductive (SSR) et de prise en charge clinique des cas de violences basées sur le genre, en particulier pour les personnes déplacées, les retournées et les populations hôtes des villages d'accueil touchés par la crise humanitaire dans la province du Lac au Tchad","Le présent projet qui s’exécutera durant 12 mois sera mis en œuvre par UNFPA et ses partenaires en l'occurrence dans six districts sanitaires incluant BAGA-SOLA, LIWA, ISSEIROM, BOL, NGOURI et KOULOUDIA, contribuant au renforcement de la localisation de l'aide humanitaire. Il vise d’une part, à réduire la sur morbidité et la surmortalité tributaire d’un faible accès aux soins de santé primaires (SSP), santé reproductive (SR) y compris santé mentale, et soins nutritionnels ; et d’autre part, à la prévention et prise en charge clinique des VBG. Les bénéficiaires de cette intervention sont les personnes les plus vulnérables parmi les populations de déplacés, des retournés et des communautés hôtes des six districts sanitaires de la Province du Lac mentionnés incluant BAGA-SOLA, LIWA, ISSEIROM, BOL, NGOURI et KOULOUDIA. 
Ce projet vise à améliorer les conditions de vie et la protection des personnes dans le besoin, y compris les personnes en déplacement, et les communautés d'accueil, en particulier les femmes et les jeunes qui sont les plus vulnérables, en fournissant des services intégrés de santé sexuelle et reproductive, et des services de lutte contre la violence sexuelle.
- 8 798 personnes dont 1709 hommes, 1944 femmes, 2525 garçons, 2619 filles ont accès aux soins de santé sexuelle et reproductive, y compris l’assistance psychosociale et la santé mentale ; et d’autre part, les services de la prévention et prise en charge clinique des VBG (6321 dans la prise en charge des affections courantes parmi lesquels 962 cas compliqués, 202 cas de complications obstétricales, 2098 femmes enceintes vaccinés et 177 cas de santé mentale) dans les six districts sanitaires de la Province du Lac incluant BAGA-SOLA, LIWA, ISSEIROM, BOL, NGOURI et KOULOUDIA. 
- 153 prestataires de service (94 hommes et 59 femmes) sont capacités pour l’offre des services de santé sexuelle et reproductive, y compris l’assistance psychosociale et la santé mentale ; et d’autre part, pour les services de la prévention et prise en charge clinique des VBG, .
- 1 130 personnes (dont entre autres 429 femmes enceintes, 386 Nouveaux nés, 64 cas de complications de grossesses à l'accouchement / césariennes, 210 cas d'IST, 41 cas de VBG, et les femmes visiblement enceintes bénéficiaires de kits d'accouchement individuels) accèdent gratuitement aux soins de santé sexuelles et reproductives de qualité dans les six districts, incluant BAGA-SOLA, LIWA, ISSEIROM, BOL, NGOURI et KOULOUDIA. 
- 1 682 survivants de VBG bénéficient d’une prise en charge psychosociale, juridique/judiciaire, et de la réinsertion socioéconomique et/ou scolaire, selon leurs souhaits et besoins spécifiques dans les points de prestation de services.
- 1300 femmes et filles les plus vulnérables parmi les populations affectées par la crise humanitaire dans les six provinces du sud bénéficient des kits de dignité, et les risques d’exposition aux VBG et EAS y sont réduits.
En vue de l’atteinte de ces résultats, des activités seront mises en place en rapport avec le renforcement des capacités techniques des prestataires et capacités institutionnelles des structures ciblées, - l’offre gratuite de services notamment la prise en charge des cas selon leurs spécificités dans une approche avancée (clinique mobile) et fixe (les formations sanitaires) ; - et les activités de prévention et mitigation de risques VBG/EAS entre autres à travers des sensibilisations. Les interventions ici planifiées renforcent la complémentarité et la coordination avec les actions déjà en cours dans les six districts sanitaires."
220414,Promoting Alternative Livelihoods for Early Recovery using a cash for work approach.,"1. Restoration of envirnmental hotspots through a cash for work initiative,skills development and training
2. Number of people disaggregated by age and gender trained in natural resource management.
3. Number of rehabilitated/restored hotspots."
213188,Ethiopia: GOAL (Health and Nutrition response),GOAL - Health and Nutrition response for Sudan Regional Plan in Ethiopia
213605,"Tanzania, United Republic of: Norwegian Refugee Council (Settlement, Shelter and Housing response)","Norwegian Refugee Council: Settlement, Shelter and Housing response for DRC Regional Plan in Tanzania, United Republic of"
213608,Uganda: Norwegian Refugee Council (Protection response),Norwegian Refugee Council: Protection response for DRC Regional Plan in Uganda
206496,Provisión de asistencia para la atención de emergencias humanitarias y contribución a soluciones duraderas para población afectada por el conflicto armado y comunidad anfitrionas vulnerables en Colombia,"NRC contribuirá para que las personas afectadas, restauren, fortalezcan y protejan sus medios de vida, favoreciendo una recuperación resiliente que tenga en cuenta la preparación y gestión de desastres y la construcción de paz en zonas priorizadas. NRC, especialmente en el marco del apoyo a soluciones duraderas, fortalecerá las capacidades de las comunidades afectadas e instituciones locales para mantener la salud, seguridad y dignidad para las personas con multi afectación por desastres y conflicto armado."
207412,"Support to vulnerable IDPs, returnees and host families to Improve their food security, economic and social well-being in Northwest South West (NWSW) regions.","The purpose of the project is to improve food security, economic and social well-being of vulnerable IDPs, returnees and host families in the target area. 
The purpose of the project is to improve food security and, the economic and social well-being of vulnerable IDPs, returnees and host families in the target areas. To build the resilience of vulnerable households, NRC will complement food assistance with livelihood activities using a market-based approach that refers to local traders so to improve access to income and revive/strengthen the local economy. The intervention will be geared towards supporting the most vulnerable displacement-affected households and at the same time building their capacity in food production, food transformation and marketing.  
NRC will identify project participants using household-level socio-economic vulnerability assessments. The assessments will prioritize the most vulnerable households, taking into consideration, the age and gender of the head of household, the number of pregnant and lactating women, the number of elderly people, and the number of people living with disabilities and chronic illnesses, as well as other relevant vulnerability indexes such as food consumption score, number of meals per day, possession (or lack of) productive assets. 
Market assessments and cash feasibility surveys will confirm the modality of each distribution, and whenever possible, NRC will prioritize cash-based intervention. 
"
213322,"Iran, Islamic Republic of: Norwegian Refugee Council (Protection response)","Norwegian Refugee Council: Protection response for Afghanistan Regional Plan in Iran, Islamic Republic of"
219491,Jordan: Norwegian Refugee Council (Economic Empowerment response),Norwegian Refugee Council: Economic Empowerment response for Syria Regional Plan in Jordan
220213,Libya: Norwegian Refugee Council (Basic Needs response),Norwegian Refugee Council - Basic Needs response for Sudan Regional Plan in Libya
212991,"Multi Purpose Cash Assistance for Vulnerable, Displacement affected Populations in Syria","The food and economic security situation in Syria continues to deteriorate. An estimated 15.5 million people (65% of the population) are in need of food or livelihood support, Or assistance from national safety nets (HNO 2024). These estimates are based on a country-wide assessment of over 42,000 households which shows an increase in food insecurity compared to last year. At least 12.9 million people are in need of food assistance, if 2.1 million who live in camps are all food insecure, and a further 2.6 million are at risk of food insecurity. The driving factors of food insecurity are likely to remain in place in 2024 and if the required support is not provided, there is a high probability that vulnerable people will fall into extreme poverty and that the number of people in need will increase further during the year. In addition, a scale up of food assistance and Agriculture assistance remains a priority. 
Syria is in economic decline with sharp deteroriration of economic situation for majority of the population making households have become less resilient. Households are increasingly relying on negative coping mechanisms such as, child labor and child marriage (resulting in more children out of education), as well as the sale of productive assets (resulting in decreased livelihood potential), among many other negative coping strategies. The lack of basic services negatively impacts the living conditions of households, as well as the functionality of schools, businesses, and markets. In multiple reports and assessments, households report that their top needs are for food and access to livelihoods. Over one-third of households have no employed household member, and the Syrian currency dropped drastically between 2020 and 2023. 
A significant portion of the Syrian labor market operates in informality, and the dire economic situation increased the average power disparity between the worker and the employer. Employers and employees must learn their work rights and responsibilities. Due to conflict and economic decline, purchasing power in many areas of Syria continues to decrease, which significantly affects growth prospects for businesses that already suffer from sanctions, inflation, broken supply chains and other poor market conditions. In June 2021, the Syrian Pound became more stable due to factors such as the devaluation of the SYP by the Syrian Central Bank and the arrival of the annual harvest. As a result, food security stabilized and improved somewhat. However, post-July 2021 onward, the situation of food insecurity worsened due to an increase in the price of subsidized bread, a rise in the price of subsidized diesel, import restrictions, and a fall in wheat production. The Central Bank of Syria has devalued the Syrian pound four times in 2023. The latest devaluation occurred at the end of October, with the exchange rate reaching SYP 11,557 to a dollar from SYP 8,542. As a result, the local currency has depreciated by 56% in the parallel market since the beginning of the year, 75% over two years, and 83% over three years. 
In October 2023, the food basket for a family of five cost SYP 928,587, which is a 100% increase compared to the beginning of the year. The cost has also quadrupled in two years. Although the monthly minimum wage doubled to SYP 187,940 in August 2023, it only covers 20% of the total basket cost. This is a significant reduction in purchasing power compared to three years ago when the minimum wage covered 50% of the total basket cost. 

Target: NRC's Interventions will target Socio-economic vulnerable households with unable to meet their basic survival needs (Female headed households, persons with disabilities, households with no abled bodied bread-winner, household who lost their complete source of income and relying on negative coping strategies to fulfil their basic needs). 

Transfer value and frequency: 6 months and as per the recommended CWG HCT transfer value."
207146,"Renforcer la prévention et la réponse à la violence qui affecte la population dans les départements de Madarounfa et Guidan Roumdji, région de Maradi","Les interventions de NRC dans les départements de Guidan Roumdji et Madarounfa, auront pour but de prévenir ou d’interrompre la violence qui affecte les individus ou les ménage des localités ciblées. Ainsi, Nous nous engagerons auprès des communautés de  Moulé Saboua, Moulé Sofoua, Saoulaoua, Madarounfa (Département de Madarounfa), Souloulou, Chadakori, Dan Dadjin Makaou, et Garin Kaka (Département de Guidan Roumdji) en leur apportant un appui et un encadrement pour la mise en œuvre des plans  de réduction des risques qu’elles ont élaboré en 2023. Les communautés continueront à être renforcées pour qu’elles soient capables par elles-mêmes d’identifier, et initier des mesures d’atténuation des risques qui les affectent.  Aussi, nous soutiendrons des micro-projets ou initiatives communautaires qui contribuent à promouvoir la coexistence pacifique et la cohésion sociale. Des initiatives de médiation humanitaire seront déployées dans les contextes de fortes tensions intercommunautaires pouvant conduire aux affrontements. 
Les individus ou les ménages à vulnérabilité élevées, exposées ou ayant subi de graves violences recevront un paquet d’assistance ou services comprenant les premiers secours psychologiques (PSP) des assistances de protection individuelles (API) et le référencement."
205873,"Emergency GBV Prevention, Response and Risk Mitigation in South Sudan","
NCA is actively engaged in addressing gender-based violence (GBV) in emergency situations in South Sudan, showcasing a robust and continuous response. The specific project focuses on key areas, including comprehensive case management for women and girls, tailored psychosocial support (PSS), targeted prevention and awareness initiatives. Furthermore, there is a dedicated emphasis on prevention, awareness, and PSS for returning men and boys. The project also introduces innovative approaches to menstrual hygiene management (MHM) and implements inventive incontinence management strategies for women and girls in safe spaces. Through these strategic interventions, the project aims to make a meaningful impact on the well-being and safety of the affected populations.
"
206527,"Acción integral contra las minas - Antioquía, Cauca, Meta, Tolima, Nariño y Córdoba.","El proyecto busca brindar una respuesta integral (acompañamiento jurídico, acompañamiento psicosocial, rehabilitación física, inclusión socio-económica y Desminado Civil Humanitario (Enlace Comunitario, ENT, Despeje y Destrucción de Artefactos Explosivos) y Educación en el Riesgo de Minas) a las necesidades de los sobrevivientes y las víctimas indirectas de minas y restos explosivos de guerra, las personas con discapacidad y otras personas vulnerables en situaciones de conflicto, post conflicto o crisis prolongada, teniendo en cuenta los diferentes impactos en los hombres, mujeres, niños y niñas en los departamentos de Antioquía, Cauca, Meta, Tolima, Nariño y Córdoba."
209276,Providing Critical Multisector Support Services to Refugees and Hosting Communities in Sudan,"This project aims to provide humanitarian assistance to refugees and hosting communities under the Strategic Objectives of the 2024 Humanitarian Response Plan. IOM will provide multi-sectoral interventions, including Water, Sanitation, and Hygiene (WASH), Emergency Shelters and Non-Food Items (ES/NFIs), Health, Nutrition, and Livelihoods based activities to respond to the urgent needs of refugees and hosting communities in Sudan. The military conflict between the Sudanese Armed Forces (SAF) and Rapid Support Forces (RSF) that commenced on 15 April 2023 has caused increased vulnerabilities of over 900,000 refugees and asylum seekers across Sudan and triggered urban to rural, intra/interstate and cross border population movements. The conflict and subsequent displacement in Sudan are causing refugee crises in the neighbouring countries, putting pressure on already limited resources in often remote areas already facing their own crisis. IOM will focus on providing multi-sectoral assistance in South and North Darfur, Blue Nile, White Nile, Kassala, and Gedaref, where numerous instances of internal displacement and a sharp increase in the number of refugee and migrant movements have been reported in 2024 due to the crisis. The activities will target an estimated 213,350 refugees and host community members in vulnerable communities. The proposed WASH activities will increase access to safe drinking water, adequate quality sanitation facilities, and improve hygiene practices (particularly through rehabilitation of water yards, installation of communal latrines, distribution of hygiene material and sanitary materials to women, among others). The proposed ES/NFI interventions including distribution of shelter and NFI kits as well as cash support for NFIs not included in the standard kits will be used to improve living conditions for vulnerable refugees and host communities that recieve a large influx of displaced populations and offer protection to vulnerable people from the harsh elements. The proposed health activities will focus on delivering a basic package of primary health services (BPPHS) including mental health and psychosocial support (MHPSS) and nutrition services integrated to BPPHS, to improve access to services, reduce risks associated with morbidity and mortality, and support more favorable protection outcomes. The livelihood activities will seek to provide income generating support to the most vulnerable, notably through vocational and skills training and conducting adapted activities for the youth. This project will focus on targeting refugees and hosting communities to mitigate the risks of tensions over scarce resources and increase the capacity of hosting communities to absorb population influxes. However, lifesaving assistance will be prioritized for new arrivals and vulnerable groups including women, children, the elderly, and people with disabilities or other vulnerabilities to ensure that the most urgent humanitarian and protection needs are addressed."
207121,"AMELIORATION DES CONDITIONS DE VIE DES PDI ET COMMUNAUTES HOTES VULNERABLES DANS LA PROVINCE DU LAC, A TRAVERS UNE REPONSE INTEGREE ET DURABLE.","L’actuelle intervention vise à mettre en place un accompagnement aux personnes déplacées internes et personnes vulnérables de la communauté hôte à travers la construction des abris durables dans les sites de Ngourtou Koumboua et Yakoua en vue de leur autonomisation. Il s’agit d’un projet pilote d’une année qui ciblera directement environ 15.000 dans les domaines des abris durables. Cela permettra d’améliorer l’environnement de protection globale de ces personnes déplacées de force dont les assistances humanitaires offertes jusqu’ici ne parviennent pas à inverser la courbe des besoins, alors que la situation humanitaire ne cesse de se détériorer dans la Province du Lac. Au 31 Octobre 2023, le nombre de population déplacées internes s’élevait 215,928 personnes selon les données publiées par le DTM. Dans le même ordre d’idées, plusieurs évaluations conduites par les acteurs humanitaires, indiquent également que ces personnes restent dans une situation d’extrême vulnérabilité les rendant entièrement dépendant de l’aide humanitaires, alors que la couverture des financements reste très faible par rapport aux besoins, et que les crises ne cessent de se multiplier.
De plus, compte tenu de la nature prolongée de la crise sécuritaire et environnementale, de l'ampleur croissante des besoins de protection des populations déplacées, la faiblesse des services sociaux de base et la précarité des conditions socioéconomiques des populations et de l'accélération des effets de la désertification, il est important d'investir dans des solutions à plus long terme pour les personnes déplacées de force, enfin d’améliorer les conditions leurs conditions de vie, vision stratégique du gouvernement dans le cadre du plan national de développement. La paupérisation et le manque d’accès aux besoins sociaux de base de ces populations déplacées et des communautés
d’accueil, risque de menacer la paix et la stabilité dans la région et de poser des difficultés pour parvenir à un relèvement post-crise. 
Ce projet se propose ainsi de mener des interventions dans les secteurs sites ci-haut et développera deux sites intégrés avec le minimum de services nécessaires afin d’offrir un cadre de vie plus digne aux personnes victimes des crises multidimensionnelles dans la province du Lac."
217621,Midlands Province WASH emergency response,To improve access to water sanitation and hygiene and build resilience for communitties for communitties in Midlands province
206947," Assistance d'urgence aux déplacés et communautés d'accueil touchés par la crise dans le département de Ouallam, région de Tillabéri, Niger","Le Niger est confronté à des situations d’urgence multiples et simultanées, dans un contexte humanitaire et sécuritaire de plus en plus grave, ce qui exacerbe les vulnérabilités déjà prononcées des communautés d’accueil et de personnes déplacées dans la région de Tillabéri, où l’ampleur et la complexité des besoins restent élevées. GOAL propose de mettre en œuvre une réponse d’aide alimentaire d’urgence par le biais d’un soutien en espèces et en bons d’achat dans dans le departement de Ouallam qui, selon les resultats du cadre harmonise de Novembre 2023, sera en crise pendant la periode de soudure 2024. Ce projet interviendra particulierement dans les zones cibles de Mangaize, Diney, Tondikiwindi et Ouallam (toutes situées dans le département d’Ouallam, région de Tillabéri) pour les personnes déplacées et les communautés d’accueil les plus vulnérables. Le programme de 6 mois vise à fournir une aide vitale à 14 000 personnes pour répondre à leurs besoins alimentaires essentiels de base. Trois tours de distribution en espèces et en bons d’achat d’une valeur monétaire de 60,98 euros seront effectués. Le premier cycle en juin au début de la période de soudure, le deuxième en juillet et le dernier en août pour atténuer les impacts des chocs sur les prix des denrées alimentaires et les revenus sur la sécurité alimentaire et le bien-être économique des ménages. La distribution en espèces ciblera 700 ménages et le bon papier sera distribué à 1 300 ménages sur une base mensuelle. L’action proposée est basée sur la théorie du changement selon laquelle les PDI extrêmement vulnérables et les membres de la communauté d’accueil dans la région de Tillaberi ont accès au cash et voucher pour l’aide alimentaire pendant la période de soudure, ainsi qu’à une alimentation complémentaire générale (BSF) pour la prévention de la malnutrition dans les ménages qui comprennent des enfants âgés de 6 à 59 mois, avec une protection et une inclusion intégrées tout au long de l’action, ALORS les besoins alimentaires et nutritionnels essentiels des individus, qui sauvent et maintiennent la vie, seront satisfaits,  réduisant ainsi leur vulnérabilité, leur marginalisation et l’utilisation de stratégies d’adaptation négatives. Des liens entre l’action et le déploiement de la feuille de route du lien seront recherchés au cours de la mise en œuvre afin de contribuer à des solutions durables pour les personnes déplacées et les communautés d’accueil, dans la mesure du possible."
217525,"Drought response: Réhabilitation et remise aux normes de sécurité aérienne des aérodromes , pour améliorer l’accès aérien","Réhabiliter et remettre aux normes de sécurité aérienne les aérodromes d’Ambovombe, d’Ampanihy et de Bekily, pour améliorer l’accès aérien"
206510,Intervention d'urgence pour répondre aux événements de santé publique et catastrophe naturelle au Tchad,"Objectif du projet est de réduire les taux de morbidité et de mortalité dus aux épidémies de méningite, de choléra, de paludisme, de fièvre jaune et de rougeole et autres épidémies Le Tchad reste un pays qui fait face aux épidémies récurrentes et aux catastrophes naturelles tels que les inondations comme fut le cas en 2022 avec de 1.000.000 de personnes sinistrées. En 2019 le pays a enregistré plus de 20000 sinistrés dont plus d’une dizaine de morts et disparus suites aux inondations. Le taux de morbidité et mortalité reste élevé. Le taux de mortalité élevé observé lors des épidémies est dû à la faiblesse du système de surveillance, au manque de stratégies de santé appropriées, au manque d’accès des patients aux services de santé et à la mauvaise qualité des services de santé existants.
Méningite : chaque année, le pays est confronté à une vague d'épidémie de méningite dans le sud et l'ouest du pays. En 2012, la vaccination avec le nouveau vaccin MenAfriVac, qui couvrait l’ensemble du pays, a réduit le risque de méningite à méningocoque (sérotype A). Cependant, le risque d'épidémie de méningite à méningocoque (sérotype W135) persiste. En 2019 les districts sanitaires de Goundi et Bedjondo dans la province sanitaire du Mandoul, ont connu une épidémie de méningite à méningocoque (sérotype W135) avec plus 500 cas suspects dont 52 décès. Depuis le début de l'année 2021 plus de 544 cas suspects dont 48 décès ont été notifiés.
La couverture vaccinale contre la rougeole est faible (37%), ce qui a entrainé une épidémie de rougeole. Il s'agit d'une menace sérieuse pour les enfants de moins de cinq ans dans un contexte de forte prévalence de malnutrition chronique. 252550 cas avec 294 décès ont été notifiés.
Choléra : Le choléra apparaît pendant la saison des pluies dans les régions entourant le lac Tchad. En 2011, 17 000 cas de choléra ont été notifiés par 37 districts de santé touchés sur 62. En 2014, 172 cas de choléra ont été notifiés dans les régions de Lac,Mayo Kebbi et N’Djamena. En 2017 plus de 1000 cas ont été notifiés dans le Sila et Salamat. En 2019 les provinces sanitaires du Mayo Kebbi Est et Ouest ont connu une épidémie de choléra avec au total 96 cas notifi é. Compte tenu des faibles niveaux d'accèsà une source d'eau durable améliorée (52%) et à un assainissement amélioré (12%), il est probable que cela continue d'être un problème chronique.
En 2013, le Tchad a connu une épidémie de fièvre jaune. Plus de 900 000 personnes ont été vaccinées. En 2016, 334 cas suspects ont été notifiés, dont un confirmé et en 2018, 426 cas suspects ont été notifiés.  Une épidémie a été déclarée dans le Mandoul en novembre 2021 avec plus 70 cas suspect avec 13 cas confirmés au laboratoire
En outre, le pays connait des flambées de cas de paludisme notamment chez les enfants et les femmes. En 2019, plus de 1 000 000 de cas ont été notifiés
En 2021 le Tchad a connu une épidémie de chikungunya avec 39000 cas avec 1 décès et 2023 une épidémie de la dengue avec plus de 2000 cas suspects dont 60 cas confirmés dont 1 décès.

Afin de contrôler ces épidémies et de réduire les taux de morbidité et de mortalité dus aux épidémies de choléra, de paludisme, de fièvre jaune, de rougeole et de méningite, ce projet vise à prendre en charge de nouvelles épidémies en réalisant une campagne de vaccination de masse de l'ensemble de la population vulnérable (hommes et femmes vulnérables, enfants, garçons et filles, handicapés) sans distinction d’âge en mettant un accès sur les femmes, les enfants de moins de 5 ans
"
219594,Lebanon: International Rescue Committee (Education response),International Rescue Committee: Education response for Syria Regional Plan in Lebanon
220107,Lebanon: Première Urgence Internationale (Social Stability response),Première Urgence Internationale: Social Stability response for Syria Regional Plan in Lebanon
219610,Lebanon: Première Urgence Internationale (Protection response),Première Urgence Internationale: Protection response for Siuth Sudan Regional Plan in Lebanon
219560,Lebanon: Première Urgence Internationale (Shelter and NFIs response),Première Urgence Internationale: Shelter and NFIs response for Syria Regional Plan in Lebanon
213559,Angola: International Organization for Migration (Protection - Child Protection response),International Organization for Migration: Protection - Child Protection response for DRC Regional Plan in Angola
