project_id,project_name,project_objective
48978,WASH Core Pipeline Supplies Provision and Management for Timely Emergency Preparedness and Response in South Sudan,"The objective of the project is to improve effective emergency WASH preparedness and response capacity in South Sudan through timely procurement, prepositioning and distribution of WASH core pipeline supplies."
49186,Emergency response to acute and chronic health emergencies and improved access to primary health care and psychosocial services for vulnerable population in Renk County and in other locations across South Sudan.,"To reduce morbidity and mortality among vulnerable girls, boys, men and women in emergency situations by providing access to quality primary healthcare, including reproductive health. To support communities and the MoH to prevent, detect and respond to disease outbreaks.

To equip women with knowledge and skills that increase psychosocial wellbeing and build coping mechanisms  through the provision of protection services within a multisectoral response."
49205,"To Reduce and Control The Burden of Malaria in Multiple Locations in Unity, Upper Nile, Norther Bhar Ghazal and Western Bhar Ghazal.  				","To strengthen existing health systems to prevent, detect and respond to disease outbreaks by providing Malarial Prevention Responses and to ensure technical and material support needed to develop effective planning, technical and material response capacity and targeted delivery of malaria disease prevention campaigns."
48981,Emergency livelihood support to the most vulnerable population in South Sudan,"To protect livelihoods or vulnerable rural and urban populations and improve food security. This objective will be achieved through the provision of livelihood support through the main planting season as well as the dry season (provision of crop and vegetable seeds, fishing materials, vaccination and treatment of livestock), through the support to the production of livelihood inputs and robut food security information, analysis and coordination."
50693,"Provision of life-saving water and hygiene services to 21000 drought-affected and vulnerable individuals in Samburu, Baringo and Mandera counties in Kenya.","To provide access to safe water and hygiene information services to 21,000 drought affected and vulnerable people in Samburu, Baringo and Mandera counties in Kenya"
49180,Integrated Nutrition Life Saving Interventions and strengthening  nutrition information system in South Sudan				,"Prevent excess morbidity and mortality due to severe acute malnutrition as well as provide preventative nutrition services for survival, optimal growth and development of children under five years of age in particular."
51087,Enable recovery and resilience of the cyclone affected population,"1-Restore water access to 20,000 people
2-Distribute WASH kits to 20,000 people and conduct hygiene promotion to 45,000 people
3-Improve WASH conditions in 69 schools"
49230,"Provide Support to emergency and routine immunization interventions through vaccine provision, strengthening of cold chain systems, capacity building and implementation of immunization services to prevent outbreaks of vaccine preventable diseases in South Sudan				","""""Main Objective is to reduce mortality and morbidity due to preventable diseases through a strategic approach.
Specific Objectives:
- Enhancing health systems capacity to adequately respond to outbreaks due to vaccine preventable diseases, with a particular focus on measles. 
- Increase the community awareness in high risk areas on the importance of measles and polio immunization, as well as early identification at the community level of suspected  cases.
- Strengthen of routine immunization in the conflict affected areas in order to decrease the number of susceptible and outbreaks."""""
50313,Turkey,n/a
48961,"Emergency Water Supply, Sanitation and Hygiene Interventions for conflict and other emergency Affected Populations of South Sudan","The objective of the project is to provide quality emergency water supply, sanitation and hygiene promotion services for conflict affected people, vulnerable host communities and people in disease-prone areas, in a timely manner, in addition to strengthening communities’ resilience to cope with the impact of emergencies and recurrent shocks."
50309,Lebanon,n/a
51187,Serbia,n/a
51184,Regional,n/a
51117,Greece,n/a
