id,decision
288703,Decision: exclude; judgement; includes other elements which are not cash
288704,Decision: exclude; judgement; includes other elements which are not cash
288705,Decision: exclude; judgement; includes other elements which are not cash
288706,Decision: exclude; judgement; includes other elements which are not cash
288708,Decision: exclude; judgement; includes other elements which are not cash
288709,Decision: exclude; judgement; includes other elements which are not cash
289486,Decision: exclude; judgement
289702,Decision: exclude; judgement; includes other elements which are not cash
289720,Decision: exclude; judgement; includes other elements which are not cash
289747,Decision: exclude; judgement
289754,Decision: exclude; judgement
290093,Decision: exclude; judgement; includes other elements which are not cash
290193,Decision: exclude; judgement; includes other elements which are not cash
290194,Decision: exclude; judgement; includes other elements which are not cash
290347,Decision: exclude; judgement; includes other elements which are not cash
290429,Decision: exclude; judgement; includes other elements which are not cash
290480,Decision: accept; judgement
290481,Decision: accept; judgement
290614,Decision: exclude; judgement; includes other elements which are not cash
290619,Decision: exclude; judgement; includes other elements which are not cash
291186,Decision: exclude; judgement; includes other elements which are not cash
291354,Decision: accept; judgement
291354,Decision: accept; judgement
291847,Decision: accept; judgement
292887,Decision: exclude; judgement; includes other elements which are not cash
292927,Decision: exclude; judgement; includes other elements which are not cash
293313,Decision: accept; judgement
293348,Decision: accept; judgement
293355,Decision: exclude; judgement; includes other elements which are not cash
293488,Decision: exclude; judgement; includes other elements which are not cash
293627,Decision: accept; judgement
294322,Decision: accept; judgement
294602,Decision: exclude; judgement
294723,Decision: exclude; judgement
295905,Decision: accept; judgement
295913,Decision: accept; judgement
295935,Decision: accept; judgement
295981,Decision: exclude; judgement; includes other elements which are not cash
296004,Decision: accept; judgement
296183,Decision: accept; judgement
296227,Decision: accept; judgement
296240,Decision: accept; judgement
296241,Decision: accept; judgement
296254,Decision: accept; judgement
296260,Decision: accept; judgement
296286,Decision: accept; judgement
296955,Decision: accept; judgement
298683,Decision: accept; judgement
299378,Decision: accept; judgement
299731,Decision: accept; judgement
299821,Decision: accept; judgement
299905,Decision: accept; judgement
299906,Decision: accept; judgement
299907,Decision: accept; judgement
299908,Decision: accept; judgement
299909,Decision: accept; judgement
299910,Decision: accept; judgement
299911,Decision: accept; judgement
299912,Decision: accept; judgement
300787,Decision: accept; judgement
301008,Decision: accept; judgement
301009,Decision: accept; judgement
301351,Decision: exclude; judgement
301352,Decision: exclude; judgement
301356,Decision: exclude; judgement
301357,Decision: exclude; judgement
301427,Decision: exclude; judgement
301534,Decision: exclude; judgement
302083,Decision: accept; judgement
302697,Decision: exclude; judgement; includes other elements which are not cash
302951,Decision: accept; judgement
303766,Decision: exclude; judgement
303823,Decision: accept; judgement
304177,Decision: accept; judgement
304189,Decision: accept; judgement
304283,Decision: accept; judgement
305279,Decision: accept; judgement
305625,Decision: exclude; judgement; includes other elements which are not cash
305628,Decision: exclude; judgement; includes other elements which are not cash
306026,Decision: accept; judgement
306421,Decision: accept; judgement
306881,Decision: exclude; judgement
306902,Decision: accept; judgement
307531,Decision: exclude; judgement; includes other elements which are not cash
307686,Decision: accept; judgement
307686,Decision: accept; judgement
308194,Decision: accept; judgement
308397,Decision: accept; judgement
309873,Decision: accept; judgement
309929,Decision: accept; judgement
309929,Decision: accept; judgement
309931,Decision: accept; judgement
310241,Decision: exclude; judgement
310241,Decision: exclude; judgement
310241,Decision: exclude; judgement
310555,Decision: exclude; judgement
311155,Decision: exclude; judgement; includes other elements which are not cash
312363,Decision: accept; judgement
312367,Decision: accept; judgement
312370,Decision: accept; judgement
312704,Decision: exclude; judgement
312705,Decision: exclude; judgement
312707,Decision: exclude; judgement
312708,Decision: exclude; judgement
312807,Decision: exclude; judgement
313616,Decision: accept; judgement
313617,Decision: accept; judgement
313618,Decision: accept; judgement
314702,Decision: accept; judgement
314766,Decision: accept; judgement
314771,Decision: accept; judgement
314780,Decision: accept; judgement
315107,Decision: exclude; judgement; includes other elements which are not cash
315128,Decision: exclude; judgement; includes other elements which are not cash
315129,Decision: exclude; judgement; includes other elements which are not cash
315133,Decision: exclude; judgement; includes other elements which are not cash
315262,Decision: exclude; judgement; includes other elements which are not cash
316949,Decision: exclude; judgement
