date,value,@OBS_STATUS,freq,ref_area,indicator,unit_mult,time_format
2001,5.84141666666667,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
2002,6.32779166666667,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
2003,4.94966666666667,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
2004,4.69383333333333,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
2005,5.11675,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
2006,5.8303,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
2007,6.13940833333333,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
2008,6.82685833333333,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
2009,7.15514166666667,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
2010,6.793625,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
2011,6.83823333333333,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
2012,7.640525,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
2013,8.39890833333333,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
2014,8.97608333333333,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
2015,10.1289916666667,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
2016,10.9011583333333,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
2017,10.3474166666667,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
2018,10.199975,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
2019,10.7558666666667,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
2020,11.4562416666667,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
2021,11.0872583333333,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
2022,12.3688083333333,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
2023,13.5963833333333,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
2024,13.5631333333333,,A,BW,ENDA_XDC_USD_RATE,0,P1Y
1950,3.06122000206122,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1951,3.06122000206122,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1952,3.06122000206122,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1953,3.06122000206122,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1954,3.06122000206122,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1955,3.06122000206122,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1956,3.06122000206122,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1957,3.06122000206122,B,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1958,3.06122000206122,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1959,3.06122000206122,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1960,3.06122000206122,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1961,3.06122000206122,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1962,3.06122000206122,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1963,3.06122000206122,B,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1964,3.06122000206122,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
