DATAFLOW,FREQ,iso3,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,year,value,REF_YEAR_PRICE,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,2016,0.903421,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,2017,0.885206,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,2018,0.846773,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,2019,0.893276,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,2020,0.875506,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,2021,0.845494,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,2022,0.949624,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,2023,0.92484,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1950,1.239468,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1951,1.239468,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1952,1.239468,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1953,1.239468,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1954,1.239468,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1955,1.239468,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1956,1.239468,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1957,1.239468,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1958,1.239468,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1959,1.239468,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1960,1.239468,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1961,1.239468,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1962,1.239468,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1963,1.239468,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1964,1.239468,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1965,1.239468,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1966,1.239468,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1967,1.239468,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1968,1.239468,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1969,1.239468,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1970,1.239468,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1971,1.216091,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1972,1.091093,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1973,0.966202,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1974,0.965582,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1975,0.911726,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1976,0.956997,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1977,0.888519,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1978,0.780668,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1979,0.726791,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1980,0.724882,,F,6,A,0,EUR
